VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7
184.41,28026.6232545069,0,-3767.39722493154,-0,-38.5063567042268,-0
184.42,28027.9536610956,0,-3766.33864601148,-0,-38.5108251676889,-0
184.43,28029.2839851346,0,-3765.27996333584,-0,-38.5152931770654,-0
184.44,28030.6142266181,0,-3764.2211769222,-0,-38.5197609589188,-0
184.45,28031.9443855441,0,-3763.16228677642,-0,-38.5242287407178,-0
184.46,28033.2744619088,0,-3762.10329291023,-0,-38.528696066565,-0
184.47,28034.6044557064,0,-3761.04419534124,-0,-38.5331631639561,-0
184.48,28035.9343669348,0,-3759.9849940753,-0,-38.5376302612928,-0
184.49,28037.2641955923,0,-3758.9256891183,-0,-38.5420971298353,-0
184.5,28038.593941673,0,-3757.86628048786,-0,-38.5465635399378,-0
184.51,28039.9236052129,0,-3756.80676826235,-0,-38.551024765694,-0
184.52,28041.2531862519,0,-3755.74715250835,-0,-38.5554859914502,-0
184.53,28042.5826847879,0,-3754.68743323154,-0,-38.5599470051437,-0
184.54,28043.9121008168,0,-3753.62761044326,-0,-38.56440780644,-0
184.55,28045.2414343365,0,-3752.5676841492,-0,-38.5688686076822,-0
184.56,28046.570685343,0,-3751.50765436071,-0,-38.5733289831531,-0
184.57,28047.8998538299,0,-3750.44752109485,-0,-38.5777891452229,-0
184.58,28049.2289397953,0,-3749.3872843573,-0,-38.5822493072386,-0
184.59,28050.5579432351,0,-3748.32694415945,-0,-38.5867090414755,-0
184.6,28051.8868641431,0,-3747.26650051838,-0,-38.5911685613075,-0
184.61,28053.2157025173,0,-3746.20595343979,-0,-38.5956280810854,-0
184.62,28054.5444583537,0,-3745.1453029351,-0,-38.6000871710768,-0
184.63,28055.873131646,0,-3744.0845490214,-0,-38.6045460456595,-0
184.64,28057.2017223924,0,-3743.02369170443,-0,-38.6090049201881,-0
184.65,28058.5302305887,0,-3741.9627309956,-0,-38.6134633629227,-0
184.66,28059.8586562289,0,-3740.90166691206,-0,-38.6179215892447,-0
184.67,28061.1869993109,0,-3739.84049945955,-0,-38.6223798155127,-0
184.68,28062.5152598307,0,-3738.7792286495,-0,-38.626837607979,-0
184.69,28063.8434377824,0,-3737.71785449912,-0,-38.631295183029,-0
184.7,28065.1715331639,0,-3736.65637701411,-0,-38.6357527580249,-0
184.71,28066.4995459711,0,-3735.59479620598,-0,-38.6402098972115,-0
184.72,28067.8274761981,0,-3734.53311209192,-0,-38.644666817978,-0
184.73,28069.155323843,0,-3733.47132467768,-0,-38.6491237386905,-0
184.74,28070.4830889036,0,-3732.40943396902,-0,-38.6535804406213,-0
184.75,28071.8107713742,0,-3731.34743998318,-0,-38.6580367040659,-0
184.76,28073.1383712486,0,-3730.28534273742,-0,-38.6624927477521,-0
184.77,28074.4658885249,0,-3729.2231422375,-0,-38.6669487913842,-0
184.78,28075.7933231992,0,-3728.16083849496,-0,-38.6714043945226,-0
184.79,28077.1206752656,0,-3727.09843152708,-0,-38.6758597768986,-0
184.8,28078.447944722,0,-3726.03592133963,-0,-38.6803151592207,-0
184.81,28079.7751315647,0,-3724.97330794417,-0,-38.6847700990413,-0
184.82,28081.1022357876,0,-3723.91059135803,-0,-38.6892248170958,-0
184.83,28082.4292573889,0,-3722.84777158697,-0,-38.6936795350964,-0
184.84,28083.7561963646,0,-3721.78484864258,-0,-38.698133808588,-0
184.85,28085.0830527089,0,-3720.72182254222,-0,-38.7025878593096,-0
184.86,28086.4098264199,0,-3719.65869329168,-0,-38.7070419099773,-0
184.87,28087.7365174936,0,-3718.59546090256,-0,-38.7114955141283,-0
184.88,28089.0631259244,0,-3717.53212539224,-0,-38.7159488945056,-0
184.89,28090.3896517101,0,-3716.46868676654,-0,-38.720402274829,-0
184.9,28091.7160948471,0,-3715.40514503706,-0,-38.7248552066281,-0
184.91,28093.0424553295,0,-3714.34150022124,-0,-38.7293079136497,-0
184.92,28094.3687331554,0,-3713.27775232489,-0,-38.7337606206174,-0
184.93,28095.6949283209,0,-3712.21390135965,-0,-38.7382128770532,-0
184.94,28097.0210408204,0,-3711.14994734299,-0,-38.7426649077077,-0
184.95,28098.347070652,0,-3710.08589028072,-0,-38.7471169383083,-0
184.96,28099.6730178117,0,-3709.02173018451,-0,-38.7515685163694,-0
184.97,28100.998882294,0,-3707.95746707185,-0,-38.7560198676453,-0
184.98,28102.3246640969,0,-3706.89310094858,-0,-38.7604712188674,-0
184.99,28103.6503632186,0,-3705.82863182053,-0,-38.7649223429429,-0
185,28104.9759796533,0,-3704.76405970525,-0,-38.769373011802,-0
185.01,28106.3015134467,0,-3703.69938469224,-0,-38.7738175076653,-0
185.02,28107.6269646481,0,-3702.63460685934,-0,-38.7782620035286,-0
185.03,28108.9523332554,0,-3701.56972621213,-0,-38.7827062934453,-0
185.04,28110.2776192646,0,-3700.50474276179,-0,-38.7871503770503,-0
185.05,28111.6028226734,0,-3699.4396565139,-0,-38.7915944606019,-0
185.06,28112.9279434779,0,-3698.37446747967,-0,-38.7960381304617,-0
185.07,28114.2529816718,0,-3697.30917567587,-0,-38.8004815929145,-0
185.08,28115.577937253,0,-3696.24378110811,-0,-38.8049250553138,-0
185.09,28116.9028102175,0,-3695.17828378762,-0,-38.8093681018307,-0
185.1,28118.2276005591,0,-3694.11268373121,-0,-38.8138109398454,-0
185.11,28119.5523082758,0,-3693.0469809445,-0,-38.8182537778067,-0
185.12,28120.8769333634,0,-3691.98117543873,-0,-38.822696197695,-0
185.13,28122.201475816,0,-3690.91526723077,-0,-38.8271384079857,-0
185.14,28123.5259356314,0,-3689.84925632624,-0,-38.8315806182231,-0
185.15,28124.8503128055,0,-3688.78314273641,-0,-38.8360224081968,-0
185.16,28126.1746073324,0,-3687.71692647818,-0,-38.8404639874778,-0
185.17,28127.49881921,0,-3686.6506075572,-0,-38.8449055667054,-0
185.18,28128.8229484343,0,-3685.58418598474,-0,-38.8493467234789,-0
185.19,28130.1469949992,0,-3684.51766177775,-0,-38.8537876684643,-0
185.2,28131.4709589028,0,-3683.45103494187,-0,-38.8582286133963,-0
185.21,28132.794840141,0,-3682.38430548843,-0,-38.8626691336836,-0
185.22,28134.1186387078,0,-3681.3174734344,-0,-38.8671094410876,-0
185.23,28135.4423546013,0,-3680.25053878544,-0,-38.8715497484381,-0
185.24,28136.7659878195,0,-3679.18350154722,-0,-38.8759898425136,-0
185.25,28138.0895383563,0,-3678.11636173675,-0,-38.8804295090236,-0
185.26,28139.4130062059,0,-3677.04911937106,-0,-38.8848689611899,-0
185.27,28140.7363913663,0,-3675.98177445582,-0,-38.8893084133029,-0
185.28,28142.0596938335,0,-3674.9143270024,-0,-38.8937474356598,-0
185.29,28143.3829136017,0,-3673.84677702788,-0,-38.8981862425777,-0
185.3,28144.7060506688,0,-3672.77912453793,-0,-38.9026250494422,-0
185.31,28146.029105031,0,-3671.71136954395,-0,-38.9070634243602,-0
185.32,28147.3520766823,0,-3670.64351206304,-0,-38.9115015827439,-0
185.33,28148.6749656209,0,-3669.57555210091,-0,-38.9159397410743,-0
185.34,28149.9977718428,0,-3668.50748966897,-0,-38.9203774652675,-0
185.35,28151.3204953422,0,-3667.43932478436,-0,-38.9248149718311,-0
185.36,28152.6431361172,0,-3666.37105745279,-0,-38.9292524783414,-0
185.37,28153.9656941639,0,-3665.30268768571,-0,-38.933689548524,-0
185.38,28155.2881694765,0,-3664.23421550029,-0,-38.9381263999817,-0
185.39,28156.6105620531,0,-3663.16564090225,-0,-38.9425632513862,-0
185.4,28157.9328718898,0,-3662.09696390306,-0,-38.9469996642723,-0
185.41,28159.2550989809,0,-3661.02818451994,-0,-38.9514358573384,-0
185.42,28160.5772433245,0,-3659.95930275861,-0,-38.9558720503511,-0
185.43,28161.8993049168,0,-3658.89031863058,-0,-38.960307802655,-0
185.44,28163.221283752,0,-3657.82123215308,-0,-38.9647433340434,-0
185.45,28164.5431798283,0,-3656.75204333187,-0,-38.9691788653786,-0
185.46,28165.8649931418,0,-3655.68275217846,-0,-38.9736139538144,-0
185.47,28167.1867236868,0,-3654.61335871013,-0,-38.9780488202395,-0
185.48,28168.5083714616,0,-3653.54386293266,-0,-38.9824836866113,-0
185.49,28169.8299364642,0,-3652.4742648518,-0,-38.9869183305808,-0
185.5,28171.1514186889,0,-3651.40456448487,-0,-38.99135252873,-0
185.51,28172.4728181798,0,-3650.33476191858,-0,-38.9957807647643,-0
185.52,28173.7941349846,0,-3649.26485722809,-0,-39.0002090007985,-0
185.53,28175.1153691012,0,-3648.19485041891,-0,-39.0046370354236,-0
185.54,28176.4365205256,0,-3647.12474150209,-0,-39.0090648682429,-0
185.55,28177.7575892556,0,-3646.05453048315,-0,-39.0134927010093,-0
185.56,28179.0785752871,0,-3644.98421737314,-0,-39.017920129001,-0
185.57,28180.399478614,0,-3643.91380218865,-0,-39.0223473539972,-0
185.58,28181.7202992342,0,-3642.84328493523,-0,-39.0267745789406,-0
185.59,28183.0410371437,0,-3641.77266562395,-0,-39.0312013967298,-0
185.6,28184.3616923364,0,-3640.70194427146,-0,-39.035628010334,-0
185.61,28185.6822648101,0,-3639.63112088328,-0,-39.0400546238853,-0
185.62,28187.0027545609,0,-3638.56019547055,-0,-39.0444808279031,-0
